Team,OVA
Manchester City,86
Chelsea,84
Liverpool,84
Manchester United,82
Tottenham Hotspur,81
Arsenal,80
West Ham United,80
Aston Villa,79
Leicester City,79
Newcastle United,78
Wolverhampton Wanderers,78
Everton,77
Crystal Palace,76
Leeds United,76
Nottingham Forest,76
Brighton & Hove Albion,76
Fulham,76
Southampton,75
Brentford,75
AFC Bournemouth,74
Watford,73
Burnley,73
Norwich City,72
Sheffield United,72
Middlesbrough,71
West Bromwich Albion,71
Blackburn Rovers,70
Coventry City,70
Preston North End,70
Queens Park Rangers,70
Millwall,70
Hull City,70
Reading,69
Stoke City,69
Birmingham City,69
Bristol City,69
Luton Town,69
Swansea City,69
Sunderland,68
Wigan Athletic,68
Huddersfield Town,68
Cardiff City,68
Rotherham United,67
Blackpool,67
